city,start_date,end_date,duration
2022_1_Anhui_fu-yang-shi,3/27/2022,4/25/2022,30
2022_1_Anhui_huai-nan-shi,3/27/2022,5/3/2022,38
2022_1_Anhui_liu-an-shi,4/2/2022,4/21/2022,20
2022_1_Beijing_bei-jing-shi,3/7/2022,6/30/2022,116
2022_1_Fujian_ning-de-shi,3/30/2022,4/27/2022,29
2022_1_Fujian_quan-zhou-shi,3/13/2022,4/15/2022,34
2022_1_Gansu_lan-zhou-shi,3/6/2022,4/5/2022,31
2022_1_Guangdong_dong-guan-shi,2/25/2022,4/16/2022,51
2022_1_Guangdong_guang-zhou-shi,3/30/2022,5/20/2022,52
2022_1_Guangdong_shen-zhen-shi,2/1/2022,4/22/2022,81
2022_1_Guangdong_zhan-jiang-shi,5/6/2022,5/21/2022,16
2022_1_Guangxi_fang-cheng-gang-shi,2/23/2022,5/14/2022,81
2022_1_Hainan_san-ya-shi,3/31/2022,4/15/2022,16
2022_1_Hebei_bao-ding-shi,3/24/2022,4/14/2022,22
2022_1_Hebei_cang-zhou-shi,3/8/2022,3/22/2022,15
2022_1_Hebei_han-dan-shi,4/1/2022,5/11/2022,41
2022_1_Hebei_lang-fang-shi,3/9/2022,4/1/2022,24
2022_1_Hebei_xing-tai-shi,4/19/2022,5/6/2022,18
2022_1_Heilongjiang_ha-er-bin-shi,3/1/2022,5/7/2022,68
2022_1_Henan_an-yang-shi,3/24/2022,5/10/2022,48
2022_1_Henan_shang-qiu-shi,4/1/2022,4/24/2022,24
2022_1_Henan_xu-chang-shi,5/3/2022,6/3/2022,32
2022_1_Henan_zheng-zhou-shi,3/19/2022,6/3/2022,77
2022_1_Henan_zhou-kou-shi,3/22/2022,5/25/2022,65
2022_1_Hubei_wu-han-shi,4/1/2022,4/25/2022,25
2022_1_Jiangsu_chang-zhou-shi,3/13/2022,3/28/2022,16
2022_1_Jiangsu_lian-yun-gang-shi,3/5/2022,3/26/2022,22
2022_1_Jiangsu_nan-jing-shi,3/10/2022,4/20/2022,42
2022_1_Jiangsu_su-qian-shi,3/12/2022,4/27/2022,47
2022_1_Jiangsu_su-zhou-shi,2/10/2022,5/28/2022,108
2022_1_Jiangsu_wu-xi-shi,3/14/2022,5/16/2022,64
2022_1_Jiangsu_xu-zhou-shi,3/26/2022,5/2/2022,38
2022_1_Jiangxi_nan-chang-shi,3/13/2022,5/5/2022,54
2022_1_Jiangxi_shang-rao-shi,3/21/2022,5/10/2022,51
2022_1_Jilin_chang-chun-shi,3/4/2022,5/14/2022,72
2022_1_Jilin_ji-lin-shi,3/3/2022,5/11/2022,70
2022_1_Jilin_si-ping-shi,3/5/2022,4/18/2022,45
2022_1_Liaoning_da-lian-shi,3/14/2022,4/2/2022,20
2022_1_Liaoning_dan-dong-shi,4/24/2022,5/15/2022,22
2022_1_Liaoning_hu-lu-dao-shi,2/1/2022,3/1/2022,29
2022_1_Liaoning_shen-yang-shi,3/6/2022,4/25/2022,51
2022_1_Liaoning_ying-kou-shi,3/13/2022,4/8/2022,27
2022_1_Neimenggu_hu-he-hao-te-shi,2/15/2022,3/31/2022,45
2022_1_Shaanxi_bao-ji-shi,3/8/2022,4/5/2022,29
2022_1_Shandong_bin-zhou-shi,3/11/2022,4/2/2022,23
2022_1_Shandong_ji-nan-shi,3/22/2022,5/7/2022,47
2022_1_Shandong_qing-dao-shi,2/22/2022,4/24/2022,62
2022_1_Shandong_wei-hai-shi,3/7/2022,4/13/2022,38
2022_1_Shandong_yan-tai-shi,4/22/2022,5/6/2022,15
2022_1_Shandong_zi-bo-shi,3/8/2022,4/2/2022,26
2022_1_Shanghai_shang-hai-shi,2/20/2022,6/30/2022,131
2022_1_Shanxi_tai-yuan-shi,4/3/2022,5/2/2022,30
2022_1_Sichuan_guang-an-shi,5/9/2022,6/3/2022,26
2022_1_Tianjin_tian-jin-shi,2/24/2022,4/14/2022,50
2022_1_Zhejiang_hang-zhou-shi,3/5/2022,6/13/2022,101
2022_1_Zhejiang_jia-xing-shi,3/5/2022,5/23/2022,80
2022_1_Zhejiang_jin-hua-shi,3/26/2022,5/7/2022,43
